PLAYER,Mat_Batting,Not_out,Runs_Batting,High_Score,Avg_Batting,SR_Batting,X100,X50,Mat_Bowling,Overs,Runs_Bowling,Wkts,Avg_Bowling,Econ,SR_Bowling,X4w,X5w
Basil Thampi,0,0,0,0,0,0,0,0,4,10.1,114,5,22.8,11.21,12.2,0,0
Ben Laughlin,0,0,0,0,0,0,0,0,7,21,211,9,23.44,10.04,14,0,0
Billy Stanlake,0,0,0,0,0,0,0,0,4,16,130,5,26,8.12,19.2,0,0
Chris Jordan,0,0,0,0,0,0,0,0,1,4,31,0,0,7.75,0,0,0
David Willey,0,0,0,0,0,0,0,0,3,10,95,2,47.5,9.5,30,0,0
Dhawal Kulkarni,0,0,0,0,0,0,0,0,8,19.5,188,4,47,9.47,29.75,0,0
Imran Tahir,0,0,0,0,0,0,0,0,6,20.4,188,6,31.33,9.09,20.66,0,0
Ish Sodhi,0,0,0,0,0,0,0,0,6,23,135,5,27,5.86,27.6,0,0
Jasprit Bumrah,0,0,0,0,0,0,0,0,14,54,372,17,21.88,6.88,19.05,0,0
Javon Searles,0,0,0,0,0,0,0,0,4,7,89,2,44.5,12.71,21,0,0
Junior Dala,0,0,0,0,0,0,0,0,1,3,34,0,0,11.33,0,0,0
Karn Sharma,0,0,0,0,0,0,0,0,6,9.3,89,4,22.25,9.36,14.25,0,0
Khaleel Ahmed,0,0,0,0,0,0,0,0,1,3,38,0,0,12.66,0,0,0
KM Asif,0,0,0,0,0,0,0,0,2,6,75,3,25,12.5,12,0,0
Kuldeep Yadav,0,0,0,0,0,0,0,0,16,51.2,418,17,24.58,8.14,18.11,1,0
Kulwant Khejroliya,0,0,0,0,0,0,0,0,3,10.5,107,2,53.5,9.87,32.5,0,0
Liam Plunkett,0,0,0,0,0,0,0,0,7,25,225,4,56.25,9,37.5,0,0
Lungi Ngidi,0,0,0,0,0,0,0,0,7,26,156,11,14.18,6,14.18,1,0
Mark Wood,0,0,0,0,0,0,0,0,1,4,49,0,0,12.25,0,0,0
Mitchell McCle0ghan,0,0,0,0,0,0,0,0,11,40,332,14,23.71,8.3,17.14,0,0
Mohammed Shami,0,0,0,0,0,0,0,0,4,13.5,144,3,48,10.4,27.66,0,0
Mohit Sharma,0,0,0,0,0,0,0,0,9,29.4,322,7,46,10.85,25.42,0,0
Mujeeb Ur Rahman,0,0,0,0,0,0,0,0,11,41.2,289,14,20.64,6.99,17.71,0,0
Murugan Ashwin,0,0,0,0,0,0,0,0,2,7,53,3,17.66,7.57,14,0,0
Mustafizur Rahman,0,0,0,0,0,0,0,0,7,27.3,230,7,32.85,8.36,23.57,0,0
Pawan Negi,0,0,0,0,0,0,0,0,2,4,49,1,49,12.25,24,0,0
Pradeep Sangwan,0,0,0,0,0,0,0,0,1,2,19,0,0,9.5,0,0,0
Prasidh Krish0,0,0,0,0,0,0,0,0,7,28,260,10,26,9.28,16.8,1,0
Sandeep Lamichhane,0,0,0,0,0,0,0,0,3,12,82,5,16.4,6.83,14.4,0,0
Sandeep Sharma,0,0,0,0,0,0,0,0,12,44,333,12,27.75,7.56,22,0,0
Shahbaz 0deem,0,0,0,0,0,0,0,0,6,15,161,3,53.66,10.73,30,0,0
Siddarth Kaul,0,0,0,0,0,0,0,0,17,66,547,21,26.04,8.28,18.85,0,0
Trent Boult,0,0,0,0,0,0,0,0,14,52.4,466,18,25.88,8.84,17.55,0,0
Umesh Yadav,0,0,0,0,0,0,0,0,14,53.1,418,20,20.9,7.86,15.95,0,0
Vi0y Kumar,0,0,0,0,0,0,0,0,2,3.5,65,2,32.5,16.95,11.5,0,0
Yuzvendra Chahal,0,0,0,0,0,0,0,0,14,50,363,12,30.25,7.26,25,0,0
